case_id,classification_accuracy,difficulty,elapsed_seconds,format_valid,judge_elapsed_seconds,judge_scores,key_phrase_recall,output_tokens,overall_score,prompt_tokens,raw_output,split,task,variant
ETHNO-002,,medium,7.583,1.0,5.428439499984961,"{""overall"": 0.0, ""reason"": ""Judge output was not valid JSON.""}",0.4,154,0.28,271,"Problem Summary:
Jon, a 38-year-old parent, is struggling with the emotional toll of carrying work-related stress into his personal life, particularly during family time. This affects his ability to be present and engaged with his children.

Key Objectives:
- Establish clear boundaries between work and family life
- Regain energy and reduce burnout
- Improve overall well-being

Primary Pain Points:
- Feeling drained and depleted after work hours
- Difficulty disconnecting from work-related tasks during family time
- Struggling to be fully present and engaged with children due to work stress

Important Context:
- Jon values his role as a parent and wants to prioritize family time
- He is not seeking to quit his job, but rather find ways to manage work-related stress",development,summary,lite
ETHNO-003,0.0,hard,4.2497,0.0,,,,64,0.0,240,"Based on the conversation history, I would mark the problem as COMPLETE.

The user has already provided a clear statement of their struggle with managing their finances and feeling overwhelmed by unexpected fees. They have also implied that it matters to them because it's causing them stress and anxiety (""I just can't deal with it lately"").",development,completeness,lite
ETHNO-003,,hard,6.6838,1.0,5.775037500017788,"{""overall"": 0.0, ""reason"": ""Judge output was not valid JSON.""}",0.5,129,0.3,249,"Problem Summary:
Elena is struggling with managing her finances, as recurring fees are appearing without clear sources or explanations. This issue matters to her because it causes stress and uncertainty about where to start addressing the problem.

Key Objectives:
- Gain clarity on the source of recurring fees
- Develop a plan to manage and reduce financial uncertainty

Primary Pain Points:
- Feeling overwhelmed by the lack of transparency around fees
- Difficulty in identifying and addressing the root cause of the issue
- Emotional distress caused by the stress of managing finances

Important Context:
- Elena is experiencing financial difficulties, which may be contributing to her frustration with the recurring fees.",development,summary,lite
ETHNO-004,0.0,medium,4.6537,0.0,,,,68,0.0,246,"Based on the conversation history, I would mark the problem as COMPLETE.

The user is struggling with feeling lonely and isolated since retiring, and it matters to them because they want more regular human contact. The issue seems to be a fundamental need for social interaction and connection that is not being met by current solutions (apps or driving at night).",validation,completeness,lite
ETHNO-004,,medium,6.7754,1.0,5.887717400037218,"{""overall"": 0.0, ""reason"": ""Judge output was not valid JSON.""}",0.6666666666666666,129,0.3333,255,"Problem Summary:
Darius, a 67-year-old retiree, is struggling with feelings of loneliness and disconnection after retiring. He finds that his days feel empty and he can go weeks without engaging in meaningful conversations. This lack of social interaction matters to him as it affects his mental well-being and sense of purpose.

Key Objectives:
- Establish regular, face-to-face interactions
- Overcome the feeling of isolation and loneliness

Primary Pain Points:
- Lack of spontaneous conversation opportunities
- Feeling disconnected from others due to retirement

Important Context:
- Retirement has led to a significant change in Darius's daily routine and social life.",validation,summary,lite
ETHNO-005,1.0,hard,4.9398,0.0,5.777491600019857,"{""overall"": 0.0, ""reason"": ""Judge output was not valid JSON.""}",,82,0.6,216,"Based on the conversation history, I would mark the problem as COMPLETE. 

The user has already expressed a general feeling of frustration with something slipping through the cracks, which suggests that they are struggling with a specific issue that is causing them concern. The fact that they have shared their sentiment without elaborating further implies that they may be ready to move on to deeper exploration or hand it off to another interviewer.

Complete",validation,completeness,lite
ETHNO-005,,hard,8.1837,1.0,5.314644899975974,"{""faithfulness"": 0.9, ""coverage"": 0.8, ""emotional_fidelity"": 0.7, ""concision"": 0.6, ""no_hallucination"": 1.0, ""overall"": 0.83, ""reason"": ""The output accurately reflects the reference data, with minor deviations in emotional fidelity and concision.""}",0.8333333333333334,167,0.8647,278,"Problem Summary:
Priya, a 44-year-old caregiver, is struggling to manage her workload and personal responsibilities due to the demands of rotating hospital shifts and caring for her mother. She feels overwhelmed by the constant influx of messages and calls while she should be sleeping, leading to missed tasks and forgotten appointments.

Key Objectives:
- Improve work-life balance
- Enhance ability to prioritize tasks effectively
- Reduce stress related to caregiving responsibilities

Primary Pain Points:
- Difficulty in managing multiple responsibilities simultaneously
- Feeling overwhelmed by the constant flow of messages and calls
- Struggling to maintain a sense of control over her schedule and tasks

Important Context:
- Rotating hospital shifts create unpredictable schedules, making it challenging to plan personal time.
- Caring for an elderly mother adds emotional and practical demands on Priya's life.",validation,summary,lite
ETHNO-006,0.0,hard,4.4885,0.0,,,,68,0.0,232,"Based on the conversation history, I would mark the problem as COMPLETE. 

The user has already expressed their desire to understand whether anything in their routine is making it worse after a chaotic week due to a schedule change. This indicates that they have identified a specific issue and are seeking clarification or resolution.

No further follow-up questions are needed.",test,completeness,lite
ETHNO-006,,hard,7.4539,1.0,5.820275000005495,"{""overall"": 0.0, ""reason"": ""Judge output was not valid JSON.""}",0.75,156,0.35,241,"Problem Summary:
Noah is struggling with the impact of a recent schedule change on his daily routine, which has caused chaos and disrupted his normal functioning. This issue matters to him as it affects his overall well-being and ability to manage his time effectively.

Key Objectives:
- Regain control over his schedule
- Reduce stress and anxiety related to the changed routine

Primary Pain Points:
- Feeling overwhelmed by the sudden changes in his daily routine
- Difficulty adjusting to new commitments and responsibilities
- Struggling to maintain a sense of normalcy and stability

Important Context:
- The schedule change occurred last week, causing significant disruption to Noah's usual routine.
- He is seeking to understand whether any aspects of his current routine are contributing to the worsening effects of the schedule change.",test,summary,lite
ETHNO-007,1.0,medium,2.3518,1.0,,,,2,1.0,247,Complete,test,completeness,lite
ETHNO-007,,medium,8.2771,1.0,5.823312500026077,"{""faithfulness"": 0.9, ""coverage"": 0.8, ""emotional_fidelity"": 0.7, ""concision"": 0.6, ""no_hallucination"": 1.0, ""overall"": 0.83, ""reason"": ""The output demonstrates strong faithfulness to the reference data, but lacks emotional fidelity and concision in its description of Amina's pain points.""}",0.6666666666666666,175,0.8313,256,"Problem Summary:
Amina struggles with the constant need to check customer messages at night, which is affecting her sleep and energy levels. This issue matters because it impacts her ability to perform well in school and take care of her responsibilities. Amina wants to establish a boundary that allows her to manage her work and personal life without feeling overwhelmed or ignored.

Key Objectives:
- Establish a clear boundary for checking customer messages
- Ensure the boundary is reasonable and does not ignore genuine emergencies
- Improve overall work-life balance

Primary Pain Points:
- Difficulty sleeping due to constant notifications
- Feeling exhausted and drained from managing work and school responsibilities
- Struggling to disconnect from work-related tasks outside of working hours

Important Context:
- Amina's job requires her to be available for customer inquiries at night
- She has school drop-off responsibilities that require her attention during the day",test,summary,lite
ETHNO-008,0.0,hard,4.3021,0.0,,,,69,0.0,246,"Based on the conversation history, I would mark the problem as COMPLETE.

The user has already provided a clear statement of their struggle (feeling uncertain about work, friends, and daily activities) and expressed why it matters to them (wanting direction). This indicates that they have articulated their issue in a way that is understandable and relatable.",test,completeness,lite
ETHNO-008,,hard,6.7321,1.0,5.7538424000376835,"{""overall"": 0.0, ""reason"": ""Judge output was not valid JSON.""}",0.4,130,0.28,255,"Problem Summary:
Leo, a 26-year-old recent transplant, is struggling to establish direction in his life. He feels uncertain about his career path, friendships, and daily activities, leading to feelings of indecision and frustration.

Key Objectives:
- Find a sense of stability and consistency
- Develop a clear plan for his future
- Establish meaningful relationships

Primary Pain Points:
- Feeling lost and uncertain about his life's direction
- Difficulty making decisions due to conflicting desires and priorities
- Struggling to create a fulfilling daily routine

Important Context:
- Recent move to a new location, potentially contributing to feelings of disorientation and uncertainty.",test,summary,lite
